Date,Open,Close,High,Low
1/1/2018,1300.76,1313.075,1316.08375,1300.6425
1/2/2018,1302.91,1316.5,1318.91,1302.855
1/3/2018,1318.375,1318.875,1321.3,1307.71
1/4/2018,1313.105,1327.875,1327.875,1306.05
1/5/2018,1322.05,1319.59,1323.505,1313.91
1/6/2018,1321.716667,1320.053333,1323.073333,1314.308333
1/7/2018,1321.383333,1320.516667,1322.641667,1314.706667
1/8/2018,1321.05,1320.98,1322.21,1315.105
1/9/2018,1319.755,1311.5,1320.21,1309.355
1/10/2018,1311.91,1310.32,1325.505,1308.96
1/11/2018,1319.3,1325.775,1325.775,1315.91
1/12/2018,1322.46,1335.5,1339.41,1321.96
1/13/2018,1327.091667,1337.266667,1341.141667,1326.758333
1/14/2018,1331.723333,1339.033333,1342.873333,1331.556667
1/15/2018,1336.355,1340.8,1344.605,1336.355
1/16/2018,1339.66,1338.7,1342.355,1331.96
1/17/2018,1339.66,1337.875,1343.91,1326.41
1/18/2018,1328.605,1324.7,1333.21,1324.505
1/19/2018,1328.005,1331.6,1337.855,1327.05
1/20/2018,1329.8025,1331.6,668.9275,663.525
1/21/2018,1331.6,1331.6,0,0
1/22/2018,1333.505,1333.98,1335.71,1328.8
1/23/2018,1333.605,1341,1341.8,1331.55
1/24/2018,1341.16,1358.5,1361.55,1339.605
1/25/2018,1357.355,1347.5,1366.05,1343.105
1/26/2018,1347.41,1351.875,1357.005,1344.755
1/27/2018,1349.6425,1351.875,1354.44,1348.315
1/28/2018,1351.875,1351.875,1351.875,1351.875
1/29/2018,1350.725,1336.625,1352.255,1335.625
1/30/2018,1341.55,1338.71,1348.55,1334.66
1/31/2018,1337.505,1345,1347.355,1333.505
2/1/2018,1343.855,1348.605,1351.005,1337.55
2/2/2018,1347.66,1332.035,1350.105,1327.55
2/3/2018,0,1330.5,1330.5,1330.5
2/4/2018,1335.6,1335.5,1335.6,1335.5
2/5/2018,1333.41,1341,1341.46,1329.3
2/6/2018,1339.355,1324.65,1346.05,1320.505
2/7/2018,1324.855,1318.6,1332.3,1312.21
2/8/2018,1317.55,1313.78,1321.66,1307.21
2/9/2018,1321.16,1316.25,1322.46,1311.46
2/10/2018,1318.705,1316.25,1319.355,1313.855
2/11/2018,1316.25,1316.25,1316.25,1316.25
2/12/2018,1315.505,1322.71,1326.21,1315.3
2/13/2018,1324.255,1329.16,1330.8,1321.71
2/14/2018,1329.605,1350.44,1355.355,1321.005
2/15/2018,1350.755,1359.875,1359.875,1348.71
2/16/2018,1353.755,1352.4,1361.71,1345.105
2/17/2018,1349.6275,1348.95,1353.605,1345.3025
2/18/2018,1345.5,1345.5,1345.5,1345.5
2/19/2018,1347.21,1347.5,1351.21,1346.105
2/20/2018,1347.91,1325.05,1347.96,1324.015
2/21/2018,1329.755,1323.5,1335.96,1322.605
2/22/2018,1324.505,1331.96,1332.21,1321.005
2/23/2018,1331.91,1328.95,1332.21,1325.91
2/24/2018,1330.43,1328.95,1330.58,1327.43
2/25/2018,1328.95,1328.95,1328.95,1328.95
2/26/2018,1329.71,1328.61,1340.855,1326.755
2/27/2018,1333.255,1318.605,1336.66,1313.71
2/28/2018,1318.8,1320,1321.96,1315.855
3/1/2018,1312.505,1317.16,1321.005,1303.005
3/2/2018,1316.66,1322.5,1325.41,1315.3
3/3/2018,1319.58,1323.5,1324.955,1318.9
3/4/2018,1322.5,1324.5,1324.5,1322.5
3/5/2018,1323.71,1320.35,1327.755,1317.605
3/6/2018,1320.755,1338.57,1338.57,1320.41
3/7/2018,1325.21,1324.5,1327.96,1322.3
3/8/2018,1325.66,1322.1,1328.91,1319.41
3/9/2018,1321.8,1323.5,1325.005,1313.71
3/10/2018,1322.65,1323.15,1324.6525,1318.255
3/11/2018,1323.5,1322.8,1324.3,1322.8
3/12/2018,1322.91,1323.41,1324.16,1315.41
3/13/2018,1323.755,1326.05,1333.875,1314.235
3/14/2018,1326.41,1323.8,1330.105,1321.755
3/15/2018,1323.91,1316.41,1327.96,1313.125
3/16/2018,1316.105,1313.85,1321.66,1309.71
3/17/2018,1314.98,1313.8525,1318.06,1311.7825
3/18/2018,1313.855,1313.855,1314.46,1313.855
3/19/2018,1313.3,1317.21,1319.505,1307.91
3/20/2018,1317.605,1311.505,1318.3,1306.125
3/21/2018,1311.71,1331.71,1336.41,1310.005
3/22/2018,1331.91,1330.8,1334.755,1325.005
3/23/2018,1331.105,1347.05,1350.21,1331.105
3/24/2018,1339.0775,1347.05,1348.63,1339.0775
3/25/2018,1347.05,1347.05,1347.05,1347.05
3/26/2018,1348.21,1353.5,1355.875,1343.55
3/27/2018,1353.505,1344.71,1356.605,1340.3
3/28/2018,1345.755,1325,1347.05,1323.605
