Open,Close,High,Low,Date
1067.5,1067.5,1067.5,1067.5,1/1/2018
1066.5,1096,1099,1066,1/2/2018
1095.5,1088,1097,1084,1/3/2018
1086.5,1102.5,1108.5,1083.5,1/4/2018
1100,1091.5,1103,1086.5,1/5/2018
1093.5,1101.5,1103,1090.5,1/8/2018
1101,1102,1113.5,1100,1/9/2018
1101.5,1087,1104,1084,1/10/2018
1087,1087.5,1093,1078.5,1/11/2018
1087.5,1122,1127.5,1087.5,1/12/2018
1123.5,1129,1139,1120.5,1/15/2018
1129.5,1096,1132.5,1091.5,1/16/2018
1097,1120,1120.5,1097,1/17/2018
1116,1101.5,1118.5,1099.5,1/18/2018
1102,1108.5,1115.5,1102,1/19/2018
1108.5,1108.5,0,0,1/21/2018
1109.5,1098,1111.5,1086,1/22/2018
1098.5,1094,1102.5,1088,1/23/2018
1095,1112.5,1113.5,1094.5,1/24/2018
1110.5,1101,1115.5,1095.75,1/25/2018
1095.5,1093,1103,1082.5,1/26/2018
1093,1093,1093,1093,1/28/2018
1094,1092,1094.5,1083,1/29/2018
1089.5,1057,1091.5,1050,1/30/2018
1059,1030.5,1063.5,1027,1/31/2018
1032,1042,1045.5,1017,2/1/2018
1041,1052.5,1054.5,1038,2/2/2018
1052.5,1049,1052.5,1049,2/4/2018
1050,1037,1050,1030.5,2/5/2018
1032.5,1014,1032.5,1004.5,2/6/2018
1015,988,1017.5,983.5,2/7/2018
990,965,990.5,962,2/8/2018
965,978,982.5,962.5,2/9/2018
978,979,980,978,2/11/2018
981.5,984.5,993.5,980,2/12/2018
987.5,988,996,984,2/13/2018
986.5,1002.5,1006,984.5,2/14/2018
1002.5,1020,1022.5,1002.5,2/15/2018
1019.5,1044.5,1049,1019.5,2/16/2018
1044.5,1049.5,1049.5,1044.5,2/18/2018
1046.5,1036.5,1052,1033.5,2/19/2018
1036.5,1035.5,1044.5,1028.5,2/20/2018
1035,1022,1036.5,1020.5,2/21/2018
1023.5,1040,1041.5,1020,2/22/2018
1042,1048,1048.5,1036,2/23/2018
1048,1047.5,1048,1047.5,2/25/2018
1048.5,1061.5,1067.5,1048,2/26/2018
1063,1040.5,1065.5,1037.5,2/27/2018
1040.5,1045,1050,1040,2/28/2018
1047,991.5,1047.5,978,3/1/2018
992,993,999,979,3/2/2018
993,999.5,999.5,993,3/4/2018
997,985,1001,979.5,3/5/2018
986.5,986.5,994.5,977,3/6/2018
987.5,971.5,988.5,965.5,3/7/2018
974.5,980,990.5,966.5,3/8/2018
979,999.5,999.5,972,3/9/2018
999.5,998,1000,997,3/11/2018
998.5,981,999,974,3/12/2018
981.5,992,999.5,978.5,3/13/2018
991.5,992,1008,989.5,3/14/2018
992.5,989.5,996,983,3/15/2018
989,997,999,984,3/16/2018
998.5,997.5,998.5,996.5,3/18/2018
997,991.5,1000.5,990,3/19/2018
991,984,996.5,979.5,3/20/2018
984.5,991.5,996.5,980.5,3/21/2018
992,986.5,998,977,3/22/2018
986,979,991,976.5,3/23/2018
979,977,979,977,3/25/2018
978,976.5,987,973,3/26/2018
977.5,975.5,985.5,973.5,3/27/2018
974.5,970.5,979.5,967,3/28/2018
971,954.5,974.5,945,3/29/2018
954.5,954.5,954.5,954.5,4/1/2018
957,937.5,960.5,931,4/2/2018
937,932.5,943.5,930.25,4/3/2018
933,927.5,933.5,916,4/4/2018
929.5,907.5,931,902.5,4/5/2018
909,903,915.5,899.5,4/6/2018
906.5,932.5,940.5,906,4/9/2018
932,955,961,931.5,4/10/2018
951,967.5,973,950,4/11/2018
966.5,967.5,970,946.5,4/12/2018
966.5,989.5,992,965.5,4/13/2018
989.5,989.5,989.5,989.5,4/15/2018
987.5,1004.5,1013,984.5,4/16/2018
1004,1013,1016,985,4/17/2018
1014.5,1037.5,1046,1012,4/18/2018
1037,1028.5,1056.5,1023,4/19/2018
1032,1033,1042.5,1014.5,4/20/2018
1033,1028.5,1033,1028.5,4/22/2018
1030.5,984,1037,974,4/23/2018
983.5,977,988.5,964,4/24/2018
976.5,980.5,980.5,961,4/25/2018
979.5,987.5,993.5,968,4/26/2018
987,976.5,990.5,971,4/27/2018
976.5,976.5,976.5,976.5,4/29/2018
971.5,967.5,976,959.5,4/30/2018
968,951,969,944,5/1/2018
948,962.5,973.5,947,5/2/2018
962,965,975.5,962,5/3/2018
965,969.5,971,960.5,5/4/2018
969.5,971,971,969.5,5/6/2018
970,974.5,982.5,970,5/7/2018
974,970.5,977,967,5/8/2018
973,979.5,983.5,970,5/9/2018
978,1000.5,1004.5,976.5,5/10/2018
1000.5,998.5,1011,989.5,5/11/2018
998.5,998,998.5,998,5/13/2018
990.5,998.5,1004,990.5,5/14/2018
998,984,999.5,967,5/15/2018
982.5,986.25,990.75,979.5,5/16/2018
988,981,991,978,5/17/2018
979.5,965.75,984,963.5,5/18/2018
965.75,965.75,965.75,965.75,5/20/2018
971.5,992,997,968,5/21/2018
993.5,991,1006.5,989,5/22/2018
993.5,982.5,994.5,969,5/23/2018
981.5,977.5,986.5,972.5,5/24/2018
977.5,982.5,986.5,971.5,5/25/2018
982.5,982.5,982.5,982.5,5/27/2018
983.5,989.5,989.5,981,5/28/2018
986.5,982,991.5,976,5/29/2018
978,987.5,987.5,975,5/30/2018
987,988,992.5,986,5/31/2018
989,1002.25,1006.75,986.25,6/1/2018
1002.25,1002.25,1002.25,1002.25,6/3/2018
1002,998.5,1013,996.5,6/4/2018
998,997,999.5,983.5,6/5/2018
995,1019.5,1025,994,6/6/2018
1020,1014.5,1031.5,1012.5,6/7/2018
1014,1017.5,1020,1008.5,6/8/2018
1017.5,1017,1017.5,1017,6/10/2018
1016.5,1025,1026,1011,6/11/2018
1025,1021.5,1025.5,1019.5,6/12/2018
1023,1012,1023.5,1003.5,6/13/2018
1012,1011,1018.5,1004.5,6/14/2018
1010.5,989,1012,987,6/15/2018
989,985.5,989,985.5,6/17/2018
988,993,1001.5,986,6/18/2018
993,970,994.5,967.5,6/19/2018
971,968,979.5,963.5,6/20/2018
966,954,969,951,6/21/2018
951,959.5,963,951,6/22/2018
959.5,958.5,959.5,958.5,6/24/2018
958,942.25,961,940.25,6/25/2018
943.75,959.75,962.75,933.25,6/26/2018
961.75,950.25,964.25,945.25,6/27/2018
953.75,947.25,956.75,936.25,6/28/2018
947.25,955.5,959.5,944,6/29/2018
955.5,955.5,955.5,955.5,7/1/2018
957,948.5,959,940,7/2/2018
949.5,945,954.5,941.5,7/3/2018
944.5,949,954.5,944.5,7/4/2018
951.5,951.5,953.5,943,7/5/2018
951,955.5,955.5,942.5,7/6/2018
955.5,955.5,955.5,955.5,7/8/2018
955.5,963,969.5,955,7/9/2018
962,944.5,963,942,7/10/2018
944,941.5,945.5,936,7/11/2018
940,953,956,938,7/12/2018
952.5,939.5,953,938.5,7/13/2018
939.5,939.5,939.5,939.5,7/15/2018
