Open,Close,High,Low,Date
933.5,930.5,933.5,930.5,1/1/2018
931,945.5,946.5,931,1/2/2018
945,957,961,940.5,1/3/2018
955,964,966.5,945,1/4/2018
963,969.5,970.5,959.5,1/5/2018
967.5,965,967.5,965,1/7/2018
970,973,975,966.5,1/8/2018
972.5,967,972.5,960.5,1/9/2018
966,971,975,958.5,1/10/2018
971,985.5,987,970,1/11/2018
985.5,995.5,999.5,984,1/12/2018
996,996.5,996.5,996,1/14/2018
994.5,998,1001.5,987.5,1/15/2018
996,999.5,1001,985.5,1/16/2018
1000,1001.5,1009,998,1/17/2018
1000.5,1002.5,1008,997,1/18/2018
1003,1012.5,1016.5,1000.5,1/19/2018
1012.5,1013,0,0,1/21/2018
1013.5,998,1021,992,1/22/2018
999,1009,1009.5,990.5,1/23/2018
1008.5,1017,1023,1006,1/24/2018
1016.5,1016,1029.5,1008,1/25/2018
1013.5,1011.5,1022.5,1011.5,1/26/2018
1011.5,1011.5,1011.5,1011.5,1/28/2018
1012.5,1007.5,1014.5,1003.5,1/29/2018
1008,997.5,1009.5,992.5,1/30/2018
997,1002,1007.5,996.5,1/31/2018
1003,1009,1010,993.5,2/1/2018
1006.5,991.5,1007.5,987,2/2/2018
991.5,995,995,987.5,2/4/2018
989.5,990,996.5,987.5,2/5/2018
990.5,990.5,1001,984.5,2/6/2018
991.5,980.5,994.5,977,2/7/2018
980.5,976.5,983,969.5,2/8/2018
973.5,966,977,958,2/9/2018
966,965.5,966,965.5,2/11/2018
966,970.5,973.5,961,2/12/2018
972,975,979,970.5,2/13/2018
975.5,997,1000.5,969.5,2/14/2018
997,1001,1008,994,2/15/2018
1001,1005,1012.5,1000,2/16/2018
1005,1005.5,1005.5,1004,2/18/2018
1007,1009.5,1013.5,1004.5,2/19/2018
1009,1001,1010.5,999,2/20/2018
1001,991,1001.5,989,2/21/2018
990,997.5,999.5,985,2/22/2018
998.5,997,1001,990.5,2/23/2018
997,997,997,997,2/25/2018
997,1000.5,1008.5,994.5,2/26/2018
